major_code,num,title,writer,date,content,img_url,file_url
502,281,"[취업] 한국인삼공사 - 9급 품질관리 (부여,원주) 6월 21일",최병규,2022.06.10,https://kgc.saramin.co.kr/service/kgc/2464/applicant/apply/recruit_default.asp?utm_source=gochodaejol_dotcom,,[]
502,280,"[취업] 종근당 - 수시채용 (대졸,고졸) 6월 22일",최병규,2022.06.10,https://ckd.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=102152&utm_source=gochodaejol_dotcom,,[]
502,279,[취업] 신풍제약 - 완제생산팀 채용 (오송) 상시채용,최병규,2022.06.10,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K151422206100019&utm_source=gochodaejol_dotcom,,[]
502,278,[취업] 셀트리온제약 - 신입 수시채용 (청주) 6월 19일,최병규,2022.06.10,http://recruit.celltrionph.com/?utm_source=gochodaejol_dotcom,,[]
502,277,[취업] 샘표식품- 6월 신입 수시채용 6월 12일,최병규,2022.06.07,https://m.saramin.co.kr/job-search/view?rec_idx=43198345&cn=search&cns=index&t_category=search&t_content=generic&search_uuid=dcaf5b51-d019-4ed4-a99f-0001c4b9e80f&t_ref=search&searchword=%EB%AF%B8%EC%83%9D%EB%AC%BC&searchType=recent&paid_fl=n&t_ref=search&t_ref_content=generic,,[]
502,276,"[취업] (주)콜마 - 연구전임직(서울,안동) 6월 12일",최병규,2022.06.07,https://m.jobkorea.co.kr/Recruit/GI_Read/38641519?logpath=1&listno=11&stext=%EB%AF%B8%EC%83%9D%EB%AC%BC,,[]
502,275,[취업] 웅진식품 - 공장물류 관리직 (공주) 6월 12일,최병규,2022.06.07,https://m.jobkorea.co.kr/Recruit/GI_Read/38642241?logpath=1&listno=8&stext=%EC%8B%9D%ED%92%88%20%EA%B3%B5%ED%95%99,,[]
502,274,[취업] 대웅바이오 - 의약품생산 담당자(안성) 6월 17일,최병규,2022.06.07,https://m.jobkorea.co.kr/Recruit/GI_Read/38639843?logpath=1&listno=12&stext=%EC%8B%9D%ED%92%88%20%EA%B3%B5%ED%95%99,,[]
502,273,[취업] (주)팔도- 영업 신입 채용 6월 13일,최병규,2022.06.07,https://m.jobkorea.co.kr/Recruit/GI_Read/38617822?GI_No=41573249&TS_Hot=101&productType=MVVIP,,[]
502,272,[학부] 2022학년도 1학기 공휴일(6.1 지방선거)에 따른 휴보강 안내,황진하,2022.06.03,,https://www.dongyang.ac.kr/CrossEditor/binary/images/000008/6.1_%EC%A7%80%EB%B0%A9%EC%84%A0%EA%B1%B0%EB%A1%9C_%EC%9D%B8%ED%95%9C_%ED%9C%B4%C2%B7%EB%B3%B4%EA%B0%95_%EC%95%88%EB%82%B4001.jpg,[]
